frame,left_elbow,right_elbow,swing_speed,head_stability,shoulder_rotation,hip_rotation,swing_phase
1,170.87,180.0,0,100,170.33,178.34,READY
2,170.98,180.0,0.23,92.46,171.39,178.72,READY
3,170.62,180.0,1.07,96.44,171.88,179.01,READY
4,171.82,180.0,1.33,94.1,171.71,179.16,READY
5,172.62,180.0,1.48,95.37,171.45,178.56,READY
6,171.99,180.0,4.1,97.06,171.37,178.28,READY
7,171.01,180.0,4.83,88.87,171.93,178.24,READY
8,170.87,180.0,4.48,96.26,171.74,177.75,READY
9,172.64,179.98,4.12,87.55,173.31,179.26,READY
10,173.56,180.0,5.16,89.33,172.46,179.14,READY
11,176.6,180.0,6.39,95.81,172.82,179.71,READY
12,178.04,179.7,6.26,92.07,172.26,179.24,READY
13,177.96,177.34,5.55,90.84,172.53,179.41,READY
14,178.42,174.27,5.41,91.87,172.79,179.17,READY
15,178.37,177.54,5.06,86.28,172.4,179.26,READY
16,175.78,177.27,4.78,94.76,173.45,179.6,READY
17,176.36,178.26,4.16,95.35,173.63,179.65,READY
18,175.04,176.18,4.03,90.89,174.04,179.6,READY
19,175.05,178.24,3.93,93.53,174.9,179.75,READY
20,174.9,177.29,4.15,96.21,174.84,179.57,READY
21,176.3,179.26,3.55,92.37,174.56,179.51,READY
22,176.0,177.02,3.34,91.18,175.07,179.92,READY
23,174.64,176.16,3.91,92.02,174.72,179.75,READY
24,174.41,176.77,3.45,87.91,175.18,179.89,READY
25,174.41,177.04,2.83,94.48,175.03,179.91,READY
26,174.39,175.8,3.29,90.24,174.46,179.79,READY
27,174.46,177.66,3.6,92.56,174.46,179.98,READY
28,169.34,176.45,3.85,88.17,177.11,178.28,READY
29,169.54,175.09,3.79,92.03,176.47,178.84,READY
30,169.76,173.43,3.77,93.43,176.39,178.85,READY
31,171.81,177.4,4.26,93.82,176.65,179.09,READY
32,171.13,176.14,4.29,93.44,176.67,179.09,READY
33,171.47,175.63,4.75,91.82,176.73,179.02,READY
34,172.17,174.73,4.21,92.08,177.83,178.68,READY
35,172.36,172.86,3.77,91.19,178.27,178.32,READY
36,171.98,172.15,3.18,97.38,178.2,178.4,READY
37,170.95,170.64,3.19,93.59,178.49,178.37,READY
38,171.68,169.77,3.98,94.12,178.55,178.4,READY
39,171.3,170.57,4.74,93.02,178.37,178.6,READY
40,172.29,169.6,4.5,93.28,178.47,178.47,READY
41,172.26,168.95,4.21,94.84,178.25,178.61,READY
42,173.88,173.49,5.03,92.75,176.84,179.61,READY
43,172.61,171.8,5.52,96.33,176.8,179.49,READY
44,173.37,170.26,5.43,90.02,178.25,178.4,READY
45,174.77,173.4,5.73,91.39,175.85,179.86,READY
46,173.85,172.74,4.75,93.3,176.14,179.73,READY
47,172.19,172.05,4.55,95.59,176.53,179.69,READY
48,173.19,171.29,4.64,96.39,176.33,179.59,READY
49,173.71,172.46,5.26,90.97,176.38,179.53,READY
50,172.32,171.89,4.39,93.45,176.12,179.81,READY
51,172.86,173.11,4.41,92.29,175.88,179.95,READY
52,172.83,171.96,4.87,93.32,175.89,179.94,READY
53,174.16,175.5,4.44,88.64,176.41,179.35,READY
54,175.01,176.02,3.95,97.05,175.58,179.9,READY
55,175.02,175.56,4.38,87.66,175.66,179.79,READY
56,174.15,176.0,3.65,92.69,176.02,179.41,READY
57,174.19,179.04,4.73,90.43,176.05,179.44,READY
58,175.05,179.79,4.23,97.4,175.71,179.58,READY
59,174.65,179.71,4.21,95.32,174.84,179.95,READY
60,176.41,180.0,4.91,90.72,175.37,179.53,READY
61,175.66,179.11,4.47,94.86,175.67,179.4,READY
62,176.26,176.1,4.93,88.08,175.61,179.74,READY
63,174.31,178.12,4.6,86.76,175.47,179.49,READY
64,172.42,178.64,5.35,92.31,175.93,179.41,READY
65,167.97,174.13,5.65,93.93,176.97,178.06,READY
66,173.4,177.21,6.87,93.91,174.61,179.68,READY
67,172.44,177.62,6.73,98.25,174.95,179.97,READY
68,173.0,179.13,6.12,96.51,174.48,179.77,READY
69,175.11,176.37,7.91,83.02,174.43,179.79,BACKSWING
70,176.19,178.37,7.5,90.47,174.04,179.77,READY
71,176.32,179.56,7.05,91.22,173.2,179.35,READY
72,175.89,179.59,6.14,98.21,173.21,179.41,READY
73,176.35,178.57,5.67,94.03,172.88,179.3,READY
