time,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
0.05,403.51361083984375,23.191192626953125,483.48858642578125,79.0712890625,302.72296142578125,109.85051727294922,528.1680908203125,148.35943603515625,304.32080078125,262.8578796386719,470.677490234375,123.85616302490234,332.34588623046875,436.11492919921875,438.8954162597656,332.46875,323.3792724609375,343.73870849609375
0.24,407.9898681640625,30.1865234375,484.9278869628906,87.70011901855469,306.90631103515625,122.47867584228516,527.7801513671875,159.82623291015625,304.52410888671875,270.06878662109375,470.1409912109375,157.29397583007812,349.5655517578125,417.7564697265625,447.087890625,374.25579833984375,333.3345031738281,388.2720031738281
0.43,402.61016845703125,32.017059326171875,478.152587890625,95.03298950195312,309.94091796875,124.3211898803711,526.1552734375,153.693603515625,300.557373046875,257.4210205078125,473.1329040527344,144.42919921875,332.34765625,411.08966064453125,446.5970458984375,376.6901550292969,338.27197265625,388.63934326171875
0.61,392.1915283203125,38.637451171875,462.83697509765625,105.17799377441406,313.6695861816406,124.40892028808594,517.6521606445312,160.220947265625,290.7460632324219,235.32147216796875,485.6688232421875,157.0715789794922,316.25128173828125,364.97113037109375,439.6328430175781,338.7910461425781,342.587890625,345.9074401855469
0.84,386.6748046875,30.704605102539062,445.407958984375,110.15859985351562,321.8793640136719,114.41346740722656,491.76617431640625,167.06895446777344,279.7322692871094,209.97500610351562,466.8363037109375,147.80892944335938,314.0892333984375,295.6240539550781,416.9014587402344,292.2042541503906,342.21466064453125,293.0027770996094
1.03,382.2236633300781,29.931076049804688,431.47784423828125,106.02122497558594,322.0145263671875,111.55213928222656,464.922119140625,155.2052001953125,282.1683349609375,192.28704833984375,469.61541748046875,136.28427124023438,329.5426940917969,248.7111053466797,405.85772705078125,272.3664855957031,339.6885986328125,275.80364990234375
1.24,375.5782470703125,57.74809265136719,427.7391662597656,117.9500732421875,329.333984375,127.92153930664062,469.6492004394531,160.79641723632812,300.55718994140625,201.77267456054688,448.25762939453125,140.837646484375,363.3382873535156,216.78805541992188,424.083251953125,279.0782775878906,361.67095947265625,283.1132507324219
1.44,365.339111328125,67.7503662109375,411.2294006347656,120.96878051757812,323.06524658203125,130.3450164794922,446.14349365234375,167.97003173828125,308.6700744628906,206.97531127929688,400.8544616699219,131.5652618408203,350.9368591308594,217.5079345703125,404.8865966796875,261.80023193359375,349.4140930175781,263.30743408203125
1.61,355.62286376953125,77.20072937011719,401.1499328613281,123.76889038085938,322.82904052734375,126.69358825683594,435.6271667480469,165.65744018554688,312.5596618652344,185.357666015625,405.8507080078125,148.76138305664062,320.7533264160156,209.2363739013672,390.99737548828125,257.10113525390625,340.6020202636719,256.0655517578125
1.82,347.3038635253906,88.8095703125,391.5870056152344,141.09161376953125,321.8918151855469,144.75013732910156,427.1025695800781,170.11886596679688,313.17266845703125,200.30752563476562,428.7218933105469,157.93955993652344,296.9644470214844,247.10159301757812,382.59136962890625,263.7334289550781,339.53680419921875,262.99957275390625
2.03,347.6026611328125,103.95344543457031,386.0760192871094,154.59100341796875,318.11016845703125,156.7735595703125,428.6598815917969,182.29327392578125,317.5934753417969,214.41799926757812,422.26153564453125,142.6024932861328,321.71844482421875,234.33871459960938,380.37115478515625,267.5365295410156,337.90081787109375,266.38970947265625
2.27,345.9020080566406,117.57421875,384.5274963378906,161.19644165039062,320.30364990234375,166.31488037109375,423.00299072265625,193.94021606445312,309.3785705566406,218.31167602539062,418.42041015625,150.69598388671875,296.231689453125,207.86654663085938,377.30242919921875,265.55670166015625,337.93560791015625,265.5676574707031
2.5,347.7794494628906,120.68338012695312,385.52117919921875,163.5164794921875,329.2168884277344,167.68450927734375,417.5199279785156,197.47116088867188,323.9728088378906,224.7779541015625,401.8741149902344,168.538818359375,319.11749267578125,241.7188720703125,380.63641357421875,266.4651184082031,344.22003173828125,266.2761535644531
2.72,354.0404357910156,122.73907470703125,388.69439697265625,160.38926696777344,340.71343994140625,166.08859252929688,399.5044250488281,202.28224182128906,338.37921142578125,212.6572265625,349.05267333984375,200.67379760742188,333.6720886230469,205.39013671875,382.6751403808594,266.1281433105469,348.34478759765625,266.8457946777344
2.94,357.24249267578125,122.08558654785156,392.88543701171875,159.1090087890625,348.13421630859375,165.04736328125,400.6158142089844,206.27395629882812,350.4327697753906,213.55227661132812,348.2140808105469,204.67080688476562,332.7798767089844,206.44747924804688,389.8867492675781,265.5645751953125,357.5782470703125,265.9937438964844
